"date","alertedSensor","sound","humidity","pressure","temperature","picture","pitch","yaw","roll"
"2020-11-12T02:52:55Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:53:00Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:53:06Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:53:11Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:53:16Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:53:22Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:53:27Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:53:32Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:53:38Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:53:49Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:53:54Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:53:59Z","null","null",29,601,25,"null","","",""
"2020-11-12T02:54:05Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:54:10Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:54:16Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:54:21Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:54:26Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:54:32Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:54:37Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:54:43Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:54:48Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:54:53Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:54:59Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:55:10Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:55:15Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:55:20Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:55:26Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:55:31Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:55:36Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:55:42Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:55:47Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:55:52Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:55:58Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:56:03Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:56:08Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:56:14Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:56:19Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:56:25Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:56:30Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:56:35Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:56:41Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:56:46Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:56:51Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:56:57Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:57:08Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:57:13Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:57:18Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:57:24Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:57:29Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:57:35Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:57:40Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:57:45Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:57:51Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:57:56Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:58:02Z","null","null",29,601,25,"null","","",""
"2020-11-12T02:58:07Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:58:12Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:58:17Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:58:23Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:58:34Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:58:39Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:58:44Z","null","null",31,601,25,"null","","",""
"2020-11-12T02:58:50Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:58:55Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:59:00Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:59:05Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:59:11Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:59:16Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:59:21Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:59:27Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:59:32Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:59:38Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:59:43Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:59:50Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:59:55Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:00:00Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:00:06Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:00:17Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:00:22Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:00:28Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:00:34Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:00:39Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:00:45Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:00:50Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:00:55Z","null","null",29,601,25,"null","","",""
"2020-11-12T03:01:01Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:01:12Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:01:17Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:01:22Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:01:28Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:01:33Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:01:38Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:01:44Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:01:49Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:01:55Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:02:00Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:02:05Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:02:11Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:02:16Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:02:21Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:02:27Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:02:32Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:02:43Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:02:48Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:02:54Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:02:59Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:03:05Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:03:10Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:03:16Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:03:21Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:03:27Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:03:32Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:03:38Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:03:43Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:03:48Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:03:54Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:03:59Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:04:04Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:04:10Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:04:15Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:04:26Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:04:31Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:04:36Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:04:42Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:04:47Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:04:52Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:04:58Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:05:03Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:05:08Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:05:14Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:05:19Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:05:25Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:05:31Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:05:36Z","null","null",29,601,25,"null","","",""
"2020-11-12T03:05:47Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:05:52Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:05:58Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:06:03Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:06:08Z","null","null",31,601,25,"null","","",""
"2020-11-12T03:06:14Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:06:19Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:06:25Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:06:30Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:06:35Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:06:41Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:06:46Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:06:52Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:06:57Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:07:02Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:07:08Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:07:13Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:07:19Z","null","null",31,601,25,"null","","",""
"2020-11-12T03:07:25Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:07:36Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:07:41Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:07:46Z","null","null",30,601,25,"null","","",""
